epoch,accuracy,loss,lr,precision_10,recall_10,val_accuracy,val_loss,val_precision_10,val_recall_10
0,0.306670606136322,1.882312536239624,1e-05,0.4521739184856415,0.06139315292239189,0.09186352044343948,3.7384064197540283,0.09186352044343948,0.09186352044343948
1,0.3146398961544037,1.8356499671936035,1e-05,0.48604652285575867,0.06168831139802933,0.09186352044343948,11.887772560119629,0.09186352044343948,0.09186352044343948
2,0.3140496015548706,1.8589500188827515,1e-05,0.4880382716655731,0.06021251529455185,0.18897637724876404,2.7248895168304443,0.4197530746459961,0.08923884481191635
3,0.3164108693599701,1.8351712226867676,1e-05,0.49879518151283264,0.061097994446754456,0.1942257285118103,5.863076686859131,0.19525066018104553,0.1942257285118103
4,0.31345927715301514,1.8211387395858765,1e-05,0.49884527921676636,0.06375442445278168,0.2099737524986267,2.630108594894409,0.3629629611968994,0.12860892713069916
5,0.32526564598083496,1.831318736076355,1e-05,0.5089685916900635,0.06700117886066437,0.1548556387424469,4.233823776245117,0.15340909361839294,0.14173229038715363
6,0.311393141746521,1.8332196474075317,1e-05,0.5116279125213623,0.06493506580591202,0.20472441613674164,5.940145015716553,0.20159150660037994,0.19947506487369537
7,0.33175915479660034,1.8129457235336304,1e-05,0.5167363882064819,0.07290437072515488,0.08923884481191635,37.231998443603516,0.08923884481191635,0.08923884481191635
8,0.3288075625896454,1.8060622215270996,1e-05,0.5093554854393005,0.07231404632329941,0.11023622006177902,10.135306358337402,0.10875331610441208,0.10761155188083649
9,0.32998818159103394,1.810522198677063,5e-06,0.5131579041481018,0.06906729936599731,0.21522310376167297,2.5995872020721436,0.3480663001537323,0.16535432636737823
10,0.32762691378593445,1.813008427619934,5e-06,0.4966292083263397,0.06523022800683975,0.2650918662548065,2.0069944858551025,0.40425533056259155,0.09973753243684769
11,0.3249704837799072,1.814842700958252,5e-06,0.508474588394165,0.07083825021982193,0.09186352044343948,5.061712265014648,0.09186352044343948,0.09186352044343948
12,0.32674142718315125,1.7969391345977783,5e-06,0.5209712982177734,0.06965761631727219,0.09186352044343948,4.139564037322998,0.09186352044343948,0.09186352044343948
13,0.32998818159103394,1.7967641353607178,5e-06,0.4837310314178467,0.06582054495811462,0.08136483281850815,4.263908863067627,0.08022922277450562,0.07349081337451935
14,0.34828808903694153,1.7822307348251343,5e-06,0.5507559180259705,0.07526564598083496,0.2808398902416229,2.2249794006347656,0.3207547068595886,0.13385826349258423
15,0.34238487482070923,1.7997798919677734,2.5e-06,0.5354166626930237,0.07585596293210983,0.20734907686710358,2.250772714614868,0.4252873659133911,0.09711286425590515
16,0.3469929099082947,1.7838166952133179,2.5e-06,0.534368097782135,0.0710495263338089,0.22047244012355804,2.143993377685547,0.5070422291755676,0.09448818862438202
17,0.33854782581329346,1.7886631488800049,2.5e-06,0.5076923370361328,0.06818182021379471,0.2178477644920349,2.0247843265533447,0.3333333432674408,0.11548556387424469
18,0.3494687080383301,1.7836825847625732,2.5e-06,0.5237154364585876,0.07821723818778992,0.24146981537342072,2.3585398197174072,0.37106919288635254,0.1548556387424469
19,0.34179458022117615,1.8100166320800781,1.25e-06,0.5145228505134583,0.07319952547550201,0.28871390223503113,1.9117374420166016,0.48076921701431274,0.06561680138111115
20,0.32260921597480774,1.8137685060501099,1.25e-06,0.5095541477203369,0.07083825021982193,0.23097112774848938,1.9185184240341187,0.40566039085388184,0.11286089569330215
21,0.3273317515850067,1.7982196807861328,1.25e-06,0.5202311873435974,0.0796930342912674,0.2257217913866043,2.04567289352417,0.5270270109176636,0.10236220806837082
22,0.3556670546531677,1.7861788272857666,1.25e-06,0.5419222712516785,0.07821723818778992,0.2335958033800125,2.092980146408081,0.4000000059604645,0.08923884481191635
23,0.3311688303947449,1.798918604850769,1.25e-06,0.5081632733345032,0.07349468767642975,0.12073490768671036,2.851271629333496,0.15086206793785095,0.09186352044343948
