Model,Training Time (min),Epochs Trained,Final Train Accuracy,Final Val Accuracy,Best Val Accuracy,Final Train Loss,Final Val Loss,Best Val Loss
MobileNetV2,15.059408259391784,21,0.8022432327270508,0.7637795209884644,0.7847769260406494,0.5679953098297119,0.6725900173187256,0.6130831837654114
VGG16,20.269754540920257,26,0.7048406004905701,0.7847769260406494,0.7847769260406494,0.8454897999763489,0.6862626075744629,0.6713303923606873
ResNet50,12.703492577870687,17,0.36570248007774353,0.3963254690170288,0.40682414174079895,1.720116376876831,1.6181398630142212,1.5591509342193604
DeepCNN,7.012377961476644,8,0.19155843555927277,0.1942257285118103,0.19685038924217224,2.166860342025757,2.151322841644287,2.1274616718292236
CustomCNN,27.176172212759653,36,0.1936245560646057,0.1942257285118103,0.1942257285118103,2.142561197280884,2.1412482261657715,2.141247034072876
