epoch,accuracy,loss,lr,precision_3,recall_3,val_accuracy,val_loss,val_precision_3,val_recall_3
0,0.23288075625896454,2.1846253871917725,0.001,0.32251521944999695,0.04693034291267395,0.11023622006177902,2.1544532775878906,0.0,0.0
1,0.2715466320514679,2.0194313526153564,0.001,0.3779193162918091,0.052538372576236725,0.1706036776304245,2.094618320465088,0.0,0.0
2,0.28778040409088135,1.9332698583602905,0.001,0.406521737575531,0.055194806307554245,0.1784776896238327,2.124321937561035,0.0,0.0
3,0.30371901392936707,1.8946269750595093,0.001,0.44075828790664673,0.05489964410662651,0.14960630238056183,2.102295160293579,0.3333333432674408,0.018372703343629837
4,0.3225235939025879,1.8574292659759521,0.001,0.48723897337913513,0.06191037595272064,0.1784776896238327,2.4862747192382812,0.2380952388048172,0.11811023950576782
5,0.3190672993659973,1.81477952003479,0.0005,0.5170731544494629,0.06257379055023193,0.3254593312740326,1.765845775604248,0.529411792755127,0.09448818862438202
6,0.3394332826137543,1.8058290481567383,0.0005,0.5370786786079407,0.07054309546947479,0.3779527544975281,1.7269972562789917,0.5757575631141663,0.09973753243684769
7,0.3305785059928894,1.7896089553833008,0.0005,0.5123042464256287,0.06759149581193924,0.3254593312740326,1.8797310590744019,0.4350649416446686,0.17585301399230957
8,0.34445101022720337,1.7843046188354492,0.0005,0.5203425884246826,0.07172372937202454,0.2703412175178528,2.818654775619507,0.2863849699497223,0.16010499000549316
9,0.34445101022720337,1.7638399600982666,0.0005,0.4958333373069763,0.07024793326854706,0.11286089569330215,6.289100170135498,0.11528149992227554,0.11286089569330215
10,0.3347107470035553,1.7623933553695679,0.00025,0.5257510542869568,0.07231404632329941,0.3018372654914856,1.9970349073410034,0.4285714328289032,0.13385826349258423
11,0.35094451904296875,1.7397764921188354,0.00025,0.5300207138061523,0.0755608007311821,0.404199481010437,1.5591509342193604,0.686274528503418,0.09186352044343948
12,0.34769776463508606,1.7404468059539795,0.00025,0.5254902243614197,0.07910271733999252,0.3044619560241699,1.879118800163269,0.4615384638309479,0.14173229038715363
13,0.3562573790550232,1.749125361442566,0.00025,0.545064389705658,0.07497048377990723,0.40682414174079895,1.6410796642303467,0.5142857432365417,0.18897637724876404
14,0.3603896200656891,1.7345761060714722,0.00025,0.5577777624130249,0.07408500462770462,0.3648293912410736,1.7439312934875488,0.5517241358757019,0.16797900199890137
15,0.3637971580028534,1.716811180114746,0.000125,0.5555555820465088,0.08254717290401459,0.39107611775398254,1.629913091659546,0.5037037134170532,0.1784776896238327
16,0.36570248007774353,1.720116376876831,0.000125,0.5878661274909973,0.08293978869915009,0.3963254690170288,1.6181398630142212,0.5363636612892151,0.1548556387424469
