Model,Parameters,Top-1 Accuracy,Top-5 Accuracy,Training Time (min),Epochs
YOLOv8n,1.45M,0.8704662919044495,1.0,79.22948801120123,100
YOLOv8s,5.09M,0.8543689250946045,1.0,52.38210180997849,100
