ensemble_name,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
Stacking (Logistic),0.8696109358569927,0.8753221705737592,0.8673330160288928,0.86982759473681,0.8700928621668184,0.8696109358569927,0.8683063973388878
Stacking (Random Forest),0.8664563617245006,0.8731593465536811,0.8575996389019943,0.8634236619928212,0.8676572945882582,0.8664563617245006,0.8648484958221182
Weighted Voting,0.8517350157728707,0.8646293681040848,0.8468434503203333,0.8514122415324623,0.8557269989131449,0.8517350157728707,0.849564083396616
Soft Voting,0.843322818086225,0.8714805638551741,0.8326510263988159,0.8447833435070584,0.8564262171840685,0.843322818086225,0.8419285744256992
Hard Voting,0.7613038906414301,0.8402699544458397,0.7366505733583953,0.7621148243999356,0.8135622615625454,0.7613038906414301,0.7580249829934684
