ensemble_name,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
MobileNetV2_Transfer_finetuned,0.8622502628811777,0.8738642042031061,0.8580875838949426,0.8636033818056409,0.8635994742240044,0.8622502628811777,0.8605948160686728
VGG16_Transfer_finetuned,0.8380651945320715,0.8436347613535022,0.8341926471785737,0.8343034119927683,0.8415491616898655,0.8380651945320715,0.8352830533479382
MobileNetV2,0.7518401682439537,0.7522862253821322,0.7535702442776816,0.7458412950326045,0.7564565406742808,0.7518401682439537,0.7474916389657922
MobileNetV2_Transfer,0.7444794952681388,0.7553358050624607,0.747646902985382,0.7477774918100177,0.7497469467501039,0.7444794952681388,0.7438042050861418
VGG16_Transfer,0.7423764458464774,0.7485818516045251,0.7382418853292403,0.7385534116558957,0.7407455420472285,0.7423764458464774,0.7368009824129172
VGG16,0.7181913774973712,0.736320868231418,0.7029508996910575,0.7133642062056296,0.7251148617889976,0.7181913774973712,0.7150280280732199
DeepCNN_v2,0.6614090431125131,0.687346668256405,0.6406037441669299,0.6527697194830522,0.6881096272259792,0.6614090431125131,0.6657602412806277
YOLOv8n,0.5867507886435331,0.6584488644316492,0.5596451891362229,0.5675585627549729,0.6690098790894762,0.5867507886435331,0.5924173419715701
YOLOv8s,0.5741324921135647,0.6445171605264355,0.532161745479382,0.5267967058791166,0.6526459084305898,0.5741324921135647,0.5616956238146231
DeepCNN_v3_Fixed,0.5562565720294427,0.5777734300393038,0.5478643950457004,0.5355451108902343,0.5885663670531741,0.5562565720294427,0.5454932344973926
ResNet50_Transfer_finetuned,0.5141955835962145,0.5058871713941121,0.4700722836675257,0.4551528944573949,0.504371063938885,0.5141955835962145,0.4802060234923824
EfficientNetB0_Transfer_finetuned,0.4405888538380652,0.4550158094328293,0.40794522743966133,0.3848891275778997,0.44888592477260403,0.4405888538380652,0.40836299505715734
ResNet50_Transfer,0.4195583596214511,0.4370723313747596,0.40813459463221774,0.3929087162132266,0.4474122140855467,0.4195583596214511,0.40740755710468163
ResNet50,0.4037854889589905,0.37871617229697985,0.36290388058461803,0.33730478990231266,0.38838240399976875,0.4037854889589905,0.3634870879981401
EfficientNetB0_Transfer,0.21240799158780233,0.04705297657425317,0.18018018018018017,0.07375079063883619,0.06118525512864059,0.21240799158780233,0.09396400872346496
DeepCNN_v3,0.19453207150368035,0.02161467461152004,0.1111111111111111,0.036189358372456966,0.037842726843513,0.19453207150368035,0.063359917655248
DeepCNN,0.19453207150368035,0.06947996650709062,0.11278657169055441,0.046737435152852586,0.10038430342282641,0.19453207150368035,0.07676609303129127
CustomCNN,0.19453207150368035,0.02161467461152004,0.1111111111111111,0.036189358372456966,0.037842726843513,0.19453207150368035,0.063359917655248
CustomCNN_v1,0.19348054679284962,0.02152046783625731,0.11051051051051052,0.03602545276554087,0.03767779069123914,0.19348054679284962,0.0630729535800479
