epoch,accuracy,loss,lr,precision_3,recall_3,val_accuracy,val_loss,val_precision_3,val_recall_3
0,0.46812278032302856,1.5891368389129639,0.001,0.5933842062950134,0.34415584802627563,0.6509186625480652,1.0227521657943726,0.7410072088241577,0.5406824350357056
1,0.6310507655143738,1.0586764812469482,0.0009997532,0.7138821482658386,0.522136926651001,0.7165354490280151,0.7959140539169312,0.7893081903457642,0.6587926745414734
2,0.6738488674163818,0.9278383851051331,0.0009990133,0.7597551941871643,0.5861865282058716,0.7506561875343323,0.7201668620109558,0.792682945728302,0.682414710521698
3,0.7007083892822266,0.853385329246521,0.0009977809,0.7720131278038025,0.6236717700958252,0.7427821755409241,0.6887276768684387,0.801857590675354,0.6797900199890137
4,0.7266824245452881,0.7583965063095093,0.0009960573,0.8026030659675598,0.6552538275718689,0.748031497001648,0.671407163143158,0.7957957983016968,0.6955380439758301
5,0.7322904467582703,0.7714730501174927,0.0009938441,0.8002842664718628,0.6646989583969116,0.7401574850082397,0.6590327620506287,0.8098159432411194,0.6929134130477905
6,0.732585608959198,0.7394492626190186,0.0009911436,0.7983134388923645,0.6706021428108215,0.7427821755409241,0.7153254747390747,0.7861445546150208,0.6850393414497375
7,0.7561983466148376,0.6744574308395386,0.0009879584,0.8221453428268433,0.701298713684082,0.7664042115211487,0.6485084891319275,0.8208954930305481,0.721784770488739
8,0.7680047154426575,0.6562455296516418,0.0009842915,0.8217922449111938,0.7145808935165405,0.7637795209884644,0.6585568785667419,0.7976539731025696,0.7139107584953308
9,0.7736127376556396,0.6313980221748352,0.0009801468,0.8310580253601074,0.718713104724884,0.7742782235145569,0.6543076038360596,0.8074712753295898,0.7375327944755554
10,0.7744982242584229,0.6467999815940857,0.00097552827,0.8277153372764587,0.7175324559211731,0.7716535329818726,0.638307511806488,0.800000011920929,0.7244094610214233
11,0.7821723818778992,0.6163584589958191,0.0009704404,0.841546893119812,0.7257969379425049,0.7585301995277405,0.6131971478462219,0.8141592741012573,0.7244094610214233
12,0.7910271286964417,0.5789217352867126,0.00096488826,0.8455832600593567,0.7402597665786743,0.7900262475013733,0.5970006585121155,0.8194842338562012,0.7506561875343323
13,0.7907319664955139,0.5860425233840942,0.0009588773,0.8385695219039917,0.740554928779602,0.7506561875343323,0.6448245048522949,0.792397677898407,0.7112860679626465
14,0.7857142686843872,0.5848851799964905,0.00095241354,0.831885039806366,0.7346516847610474,0.7637795209884644,0.6651976704597473,0.8134110569953918,0.7322834730148315
15,0.7984061241149902,0.5578417778015137,0.00094550324,0.8489375710487366,0.754722535610199,0.76115483045578,0.6482382416725159,0.7948718070983887,0.7322834730148315
16,0.8043093085289001,0.5311763882637024,0.00093815336,0.8496042490005493,0.7603305578231812,0.7847769260406494,0.6110267639160156,0.819242000579834,0.7375327944755554
17,0.8090319037437439,0.5450355410575867,0.000930371,0.8520709872245789,0.7650531530380249,0.787401556968689,0.5979363322257996,0.8213256597518921,0.748031497001648
18,0.8004722595214844,0.5428083539009094,0.00092216395,0.8506278991699219,0.7597402334213257,0.7900262475013733,0.627269983291626,0.8231884241104126,0.7454068064689636
19,0.8170011639595032,0.5149390697479248,0.0009135403,0.859400749206543,0.7703660130500793,0.7795275449752808,0.6602861285209656,0.799435019493103,0.7427821755409241
20,0.8110979795455933,0.5167573094367981,0.0009045085,0.8539881110191345,0.7647579908370972,0.7795275449752808,0.6201698780059814,0.8289085626602173,0.7375327944755554
21,0.8246753215789795,0.49685874581336975,0.0008950775,0.8641732335090637,0.7774498462677002,0.7585301995277405,0.6397485733032227,0.7942857146263123,0.7296587824821472
22,0.8187721371650696,0.5167664289474487,0.0008852566,0.8614280819892883,0.7798110842704773,0.748031497001648,0.7039337754249573,0.7936962842941284,0.7270340919494629
