epoch,accuracy,loss,lr,precision_8,recall_8,val_accuracy,val_loss,val_precision_8,val_recall_8
0,0.6800472140312195,0.8789685964584351,1e-05,0.7688751816749573,0.5891381502151489,0.7585301995277405,0.6541295647621155,0.8142414689064026,0.6902887225151062
1,0.7172372937202454,0.7956076264381409,1e-05,0.8017306327819824,0.6289846301078796,0.8031495809555054,0.5754311084747314,0.8537313342094421,0.7506561875343323
2,0.724616289138794,0.7612870931625366,1e-05,0.8052670359611511,0.6407909989356995,0.8031495809555054,0.5622504949569702,0.8588588833808899,0.7506561875343323
3,0.7473435401916504,0.7141099572181702,1e-05,0.8217025995254517,0.6638134717941284,0.787401556968689,0.5662123560905457,0.8461538553237915,0.7506561875343323
4,0.7570838332176208,0.6741673946380615,1e-05,0.8317117094993591,0.6812278628349304,0.8241469860076904,0.5352417230606079,0.8753799200057983,0.7559055089950562
5,0.7665289044380188,0.6511358022689819,1e-05,0.8397988677024841,0.6900826692581177,0.8031495809555054,0.6020543575286865,0.8353293538093567,0.7322834730148315
6,0.776564359664917,0.6111699342727661,1e-05,0.8434813618659973,0.6951003670692444,0.8162729740142822,0.5375052094459534,0.8664688467979431,0.7664042115211487
7,0.7889610528945923,0.6078080534934998,1e-05,0.8552212119102478,0.7131050825119019,0.8031495809555054,0.522402286529541,0.8690476417541504,0.7664042115211487
8,0.8063754439353943,0.5541250109672546,1e-05,0.8669214844703674,0.7364226579666138,0.8005249500274658,0.5498707294464111,0.8532934188842773,0.748031497001648
9,0.8096221685409546,0.5574309229850769,1e-05,0.8726003766059875,0.7378984689712524,0.8267716765403748,0.5035969614982605,0.8703169822692871,0.7926509380340576
10,0.8164108395576477,0.5252404808998108,1e-05,0.8741858005523682,0.7526564598083496,0.847769021987915,0.4374356269836426,0.8872832655906677,0.8057742714881897
11,0.8308736681938171,0.49970781803131104,1e-05,0.8849139213562012,0.7739078998565674,0.8057742714881897,0.559718906879425,0.8702064752578735,0.7742782235145569
12,0.8394333124160767,0.47405895590782166,1e-05,0.8946471214294434,0.7744982242584229,0.8320209980010986,0.48928144574165344,0.8714285492897034,0.8005249500274658
13,0.8537735939025879,0.45166847109794617,1e-05,0.900602400302887,0.7933372855186462,0.8188976645469666,0.5145596265792847,0.8616714477539062,0.7847769260406494
14,0.8536009192466736,0.4289439916610718,1e-05,0.9005672335624695,0.7966352105140686,0.8267716765403748,0.48393863439559937,0.8704225420951843,0.8110235929489136
15,0.8595041036605835,0.4206980764865875,5e-06,0.9063957333564758,0.8031286597251892,0.8451443314552307,0.43163034319877625,0.8831908702850342,0.8136482834815979
16,0.8713105320930481,0.3959886133670807,5e-06,0.9177173376083374,0.8164108395576477,0.8635170459747314,0.40366265177726746,0.9008498787879944,0.834645688533783
17,0.8798701167106628,0.3708793818950653,5e-06,0.9164748191833496,0.8226091861724854,0.8425197005271912,0.43594449758529663,0.875,0.8267716765403748
