epoch,accuracy,loss,lr,precision_7,recall_7,val_accuracy,val_loss,val_precision_7,val_recall_7
0,0.16233766078948975,2.906736373901367,1e-04,0.1998480260372162,0.07762692123651505,0.28871390223503113,2.0936925411224365,0.0,0.0
1,0.26534828543663025,2.3111190795898438,1e-04,0.33215296268463135,0.13842974603176117,0.34645670652389526,1.8744168281555176,0.0,0.0
2,0.31847697496414185,2.074443817138672,1e-04,0.4024468660354614,0.1844746172428131,0.44619423151016235,1.6214029788970947,0.6818181872367859,0.03937007859349251
3,0.34139150381088257,1.9839153289794922,1e-04,0.4246898889541626,0.21196934580802917,0.5249344110488892,1.3886531591415405,0.7857142686843872,0.17322835326194763
4,0.3698347210884094,1.8487733602523804,1e-04,0.4644303023815155,0.23701298236846924,0.5459317564964294,1.2665921449661255,0.7692307829856873,0.31496062874794006
5,0.39580872654914856,1.8076447248458862,1e-04,0.49888142943382263,0.2632821798324585,0.5380577445030212,1.2373943328857422,0.7326202988624573,0.35958003997802734
6,0.4046635329723358,1.74968421459198,1e-04,0.5089285969734192,0.2691853642463684,0.5931758284568787,1.1446418762207031,0.75,0.3937007784843445
7,0.4185360074043274,1.6978626251220703,1e-04,0.521998941898346,0.28364816308021545,0.5748031735420227,1.1431704759597778,0.7464788556098938,0.4173228442668915
8,0.43565526604652405,1.654294729232788,1e-04,0.5382944345474243,0.2925029397010803,0.5984252095222473,1.1048961877822876,0.742222249507904,0.43832021951675415
9,0.4394923150539398,1.6393475532531738,1e-04,0.5437597036361694,0.3099173605442047,0.595800518989563,1.0779063701629639,0.747863233089447,0.4593175947666168
10,0.45041322708129883,1.5875287055969238,1e-04,0.5555555820465088,0.3172963261604309,0.6089239120483398,1.061442494392395,0.7570850253105164,0.49081364274024963
11,0.4616292715072632,1.5602024793624878,1e-04,0.56209796667099,0.33530107140541077,0.6089239120483398,1.0393046140670776,0.7387754917144775,0.4750656187534332
