epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.16558441519737244,7.700843811035156,0.001,0.15236787497997284,0.06552538275718689,0.10498687624931335,7.787265300750732,0.10498687624931335,0.10498687624931335
1,0.1644037812948227,2.1874184608459473,0.001,0.0,0.0,0.09711286425590515,5.514644622802734,0.07917888462543488,0.07086614519357681
2,0.17207792401313782,2.166860818862915,0.001,0.5,0.0005903187557123601,0.10236220806837082,4.95491361618042,0.10629921406507492,0.07086614519357681
3,0.18093270063400269,2.159557819366455,0.001,0.0,0.0,0.11023622006177902,3.0247135162353516,0.06315789371728897,0.015748031437397003
4,0.189492329955101,2.1532599925994873,0.001,0.0,0.0,0.12073490768671036,2.2356390953063965,0.0,0.0
5,0.1868358850479126,2.1471381187438965,0.001,0.0,0.0,0.16797900199890137,2.1528444290161133,0.0,0.0
6,0.19332939386367798,2.1445443630218506,0.001,0.0,0.0,0.1863517016172409,2.1468708515167236,0.0,0.0
7,0.19391971826553345,2.1455061435699463,0.001,0.0,0.0,0.1942257285118103,2.142820358276367,0.0,0.0
8,0.19303423166275024,2.158113956451416,0.001,0.0,0.0,0.1942257285118103,2.142287492752075,0.0,0.0
9,0.19244392216205597,2.144505500793457,0.001,0.0,0.0,0.1942257285118103,2.1419661045074463,0.0,0.0
10,0.19332939386367798,2.1452770233154297,0.001,0.0,0.0,0.1942257285118103,2.1417229175567627,0.0,0.0
11,0.19421488046646118,2.1421563625335693,0.001,0.0,0.0,0.1942257285118103,2.1415278911590576,0.0,0.0
12,0.19391971826553345,2.141418933868408,0.001,0.0,0.0,0.1942257285118103,2.141378879547119,0.0,0.0
13,0.1936245560646057,2.143880605697632,0.001,0.0,0.0,0.1942257285118103,2.141364574432373,0.0,0.0
14,0.19421488046646118,2.1409640312194824,0.001,0.0,0.0,0.1942257285118103,2.1413073539733887,0.0,0.0
15,0.19332939386367798,2.14361834526062,0.001,0.0,0.0,0.1942257285118103,2.1413004398345947,0.0,0.0
16,0.1927390843629837,2.1433966159820557,0.0005,0.0,0.0,0.1942257285118103,2.141299247741699,0.0,0.0
17,0.19421488046646118,2.142453670501709,0.0005,0.0,0.0,0.1942257285118103,2.141273260116577,0.0,0.0
18,0.19451004266738892,2.1429951190948486,0.0005,0.0,0.0,0.1942257285118103,2.141267776489258,0.0,0.0
19,0.19451004266738892,2.1411447525024414,0.0005,0.0,0.0,0.1942257285118103,2.1412675380706787,0.0,0.0
20,0.19303423166275024,2.143519878387451,0.0005,0.0,0.0,0.1942257285118103,2.141274929046631,0.0,0.0
21,0.19391971826553345,2.1417431831359863,0.00025,0.0,0.0,0.1942257285118103,2.1413090229034424,0.0,0.0
22,0.19391971826553345,2.1412007808685303,0.00025,0.0,0.0,0.1942257285118103,2.1413323879241943,0.0,0.0
23,0.19332939386367798,2.1424591541290283,0.00025,0.0,0.0,0.1942257285118103,2.1412510871887207,0.0,0.0
24,0.19332939386367798,2.143300771713257,0.000125,0.0,0.0,0.1942257285118103,2.1412508487701416,0.0,0.0
25,0.1927390843629837,2.142918586730957,0.000125,0.0,0.0,0.1942257285118103,2.1412487030029297,0.0,0.0
26,0.1927390843629837,2.1433825492858887,0.000125,0.0,0.0,0.1942257285118103,2.1412487030029297,0.0,0.0
27,0.1936245560646057,2.142632484436035,6.25e-05,0.0,0.0,0.1942257285118103,2.1412482261657715,0.0,0.0
28,0.19155843555927277,2.1432454586029053,6.25e-05,0.0,0.0,0.1942257285118103,2.141247510910034,0.0,0.0
29,0.19332939386367798,2.1425440311431885,6.25e-05,0.0,0.0,0.1942257285118103,2.1412484645843506,0.0,0.0
30,0.19480518996715546,2.14201021194458,3.125e-05,0.0,0.0,0.1942257285118103,2.141247034072876,0.0,0.0
31,0.19421488046646118,2.1424331665039062,3.125e-05,0.0,0.0,0.1942257285118103,2.141247034072876,0.0,0.0
32,0.19303423166275024,2.143298625946045,3.125e-05,0.0,0.0,0.1942257285118103,2.1412482261657715,0.0,0.0
33,0.19244392216205597,2.1437768936157227,1.5625e-05,0.0,0.0,0.1942257285118103,2.1412482261657715,0.0,0.0
34,0.19332939386367798,2.1431117057800293,1.5625e-05,0.0,0.0,0.1942257285118103,2.1412482261657715,0.0,0.0
35,0.1936245560646057,2.142561197280884,1.5625e-05,0.0,0.0,0.1942257285118103,2.1412482261657715,0.0,0.0
